1,2,journal,title
2021-07-16,2021-12-04,Current Psychology,"New and interesting diatoms from the Shimen Wetwalls, Yunnan Province, China. II. The diatom genus Nupela Vyverman & Compère (Bacillariophyceae)"
2021-07-16,2021-12-04,Current Psychology,"New and interesting diatoms from the Shimen Wetwalls, Yunnan Province, China. II. The diatom genus Nupela Vyverman & Compère (Bacillariophyceae)"
2021-09-27,2022-01-03,Current Psychology,BDNF Levels According to Variations in the CACNA1C Gene: Sex-Based Disparity
2021-09-27,2022-01-03,Current Psychology,BDNF Levels According to Variations in the CACNA1C Gene: Sex-Based Disparity
2021-11-21,2022-03-17,Current Psychology,Epidemiology and outcomes of pneumococcal sepsis in children with nephrotic syndrome in a developing country
2021-11-21,2022-03-17,Current Psychology,Epidemiology and outcomes of pneumococcal sepsis in children with nephrotic syndrome in a developing country
2022-10-21,2022-12-02,European Archives of Psychiatry and Clinical Neuroscience,Understanding youths’ concerns about climate change: a binational qualitative study of ecological burden and resilience
2022-10-21,2022-12-02,European Archives of Psychiatry and Clinical Neuroscience,Understanding youths’ concerns about climate change: a binational qualitative study of ecological burden and resilience
2022-10-18,2022-12-21,European Archives of Psychiatry and Clinical Neuroscience,Simultaneous 18F-FDG PET/MR metabolic and structural changes in visual snow syndrome and diagnostic use
2022-06-28,2022-12-20,Current Psychology,Relationship-Status and Work-Life Balance Satisfaction: Cross-Sectional and Longitudinal Analyses
2022-06-28,2022-12-20,Current Psychology,Relationship-Status and Work-Life Balance Satisfaction: Cross-Sectional and Longitudinal Analyses
2022-03-02,2022-12-17,Current Psychology,Locus Coeruleus-Noradrenergic Neurons Regulate Stress Coping During Subchronic Exposure to Social Threats: A Characteristic Feature in Postpartum Female Mice
2022-07-27,2022-12-21,European Archives of Psychiatry and Clinical Neuroscience,A two-mediator serial mediation chain of the association between social isolation and impaired sleep in old age
2022-08-14,2022-12-05,Current Psychology,A statistical analysis of tweets on covid-19 vaccine hesitancy utilizing opinion mining: an Indian perspective
2022-08-14,2022-12-05,European Archives of Psychiatry and Clinical Neuroscience,A statistical analysis of tweets on covid-19 vaccine hesitancy utilizing opinion mining: an Indian perspective
2022-07-01,2022-11-16,Current Psychology,"Late-onset rheumatoid arthritis registry study, LORIS study: study protocol and design"
2020-06-22,2022-12-16,European Archives of Psychiatry and Clinical Neuroscience,"Histopathological and immunohistochemical studies on the influence of orally administration monosodium glutamate, a food additive dependent on time in vivo"
2021-11-25,2022-12-12,Current Psychology,"Prevalence and characteristics of unipolar mania in a low-income country setting: population-based data from the Butajira cohort, rural Ethiopia"
2021-11-25,2022-12-12,Current Psychology,"Prevalence and characteristics of unipolar mania in a low-income country setting: population-based data from the Butajira cohort, rural Ethiopia"
2021-11-25,2022-12-12,Current Psychology,"Prevalence and characteristics of unipolar mania in a low-income country setting: population-based data from the Butajira cohort, rural Ethiopia"
2022-05-27,2022-12-12,Current Psychology,"Sedative drug-use in Denmark, 2000 to 2019: a nationwide drug utilization study"
2022-09-13,2022-12-13,Current Psychology,Sleep quality and influencing factors and correlation with T-lymphocyte subpopulation counts in patients with pulmonary tuberculosis: a cross-sectional study
2021-11-24,2022-11-23,International Journal of Mental Health and Addiction,Referral assessment and patient waiting time decisions in specialized mental healthcare: an exploratory study of early routine collection of PROM (LOVePROM)
2022-07-11,2022-12-13,European Archives of Psychiatry and Clinical Neuroscience,"Depression, anxiety and related factors among Syrian breast cancer patients: a cross-sectional study"
2022-08-04,2022-12-06,Current Psychology,Does behavioural parent training reduce internalising symptoms (or not) among children with externalising problems? Systematic review and meta-analysis
2022-06-21,2022-12-02,Current Psychology,Inability to contact opioid agonist therapy prescribers during the COVID-19 pandemic in a Canadian setting: a cross-sectional analysis among people on opioid agonist therapy
2022-06-20,2022-12-06,Current Psychology,Gut microbiota in the early stage of Crohn’s disease has unique characteristics
2022-06-20,2022-12-06,Current Psychology,Gut microbiota in the early stage of Crohn’s disease has unique characteristics
2022-04-11,2022-10-17,Current Psychology,Chinese integrated guideline on the management of gastric precancerous conditions and lesions
2022-02-16,2022-12-05,Current Psychology,Comparative Meta-analysis of Adipose Tissue Transcriptomics Data in PCOS Patients and Healthy Control Women
2021-10-19,2022-12-03,International Journal of Mental Health and Addiction,Novel insights regarding the measurement properties of the SCOPA-AUT
2022-09-02,2022-12-01,Current Psychology,It doesn’t stop Here: workplace bullying and family incivility mediating role of psychological distress
2022-10-03,2022-11-27,Current Psychology,Associations between digital gaming behavior and physical activity among Finnish vocational students
2022-10-03,2022-11-27,Current Psychology,Associations between digital gaming behavior and physical activity among Finnish vocational students
2022-04-20,2022-11-13,Current Psychology,Delivering vaping cessation interventions to adolescents and young adults on Instagram: protocol for a randomized controlled trial
2022-08-30,2022-10-31,European Archives of Psychiatry and Clinical Neuroscience,The risk of depression and anxiety is not increased in individuals with juvenile idiopathic arthritis – results from the south-Swedish juvenile idiopathic arthritis cohort
2022-08-30,2022-10-31,European Archives of Psychiatry and Clinical Neuroscience,The risk of depression and anxiety is not increased in individuals with juvenile idiopathic arthritis – results from the south-Swedish juvenile idiopathic arthritis cohort
2022-10-10,2022-11-25,Current Psychology,Extended treatment of multimodal cognitive behavioral therapy in children and adolescents with obsessive–compulsive disorder improves symptom reduction: a within-subject design
2022-10-10,2022-11-25,Current Psychology,Extended treatment of multimodal cognitive behavioral therapy in children and adolescents with obsessive–compulsive disorder improves symptom reduction: a within-subject design
2022-05-15,2022-11-21,Current Psychology,"Clinical and Liver Biochemistry Phenotypes, and Outcome in 133 Patients with Anti-seizure Drug-Induced Liver Injury"
2022-02-10,2022-11-06,European Archives of Psychiatry and Clinical Neuroscience,Natural and anthropogenic factors influencing changes in peatland management in Poland
2022-07-07,2022-11-25,Current Psychology,Preliminary study on brain resting-state networks and cognitive impairments of patients with obstructive sleep apnea–hypopnea syndrome
2022-07-03,2022-11-16,Current Psychology,Myasthenia gravis - a retrospective analysis of e-mail inquiries made to a patient organisation and specialized center to uncover unmet needs from patients and caregivers
2022-07-03,2022-11-16,International Journal of Mental Health and Addiction,Myasthenia gravis - a retrospective analysis of e-mail inquiries made to a patient organisation and specialized center to uncover unmet needs from patients and caregivers
2022-07-03,2022-11-16,Current Psychology,Myasthenia gravis - a retrospective analysis of e-mail inquiries made to a patient organisation and specialized center to uncover unmet needs from patients and caregivers
