1,2,journal,title
2022-12-23,2023-04-01,European Archives of Psychiatry and Clinical Neuroscience,Hepatitis C and hepatitis B virus infection in hemodialysis patients after nationwide direct antiviral agents therapy—experience of 10 Romanian HD centers
2023-02-03,2023-03-06,Current Psychology,Advanced separator engineering strategies for reversible electrochemical zinc storage
2022-10-16,2023-02-11,Academic Psychiatry,Mid-Eocene (Bartonian) composite alluvial paleosol succession in NE Egypt: a key to terrestrial paleoenvironmental and palaeoclimatic reconstruction
2023-01-04,2023-03-28,Current Psychology,"Biocompatibility, bioactive potential, porosity, and interface analysis calcium silicate repair cements in a dentin tube model"
2022-09-19,2023-01-23,International Journal of Mental Health and Addiction,Biochar application increases maize yield under film mulching due to higher soil organic content and soil aggregate stability in a semi-arid area
2021-04-29,2022-04-17,International Journal of Mental Health and Addiction,Assessment of the Effect of Micro Steel Fiber Reinforced Mortars on the Mechanical Properties of Masonry Walls
2022-05-02,2022-11-10,Current Psychology,Impact of intravascular ultrasound parameters and platelet reactivity on primary patency after drug-coated balloon angioplasty for femoropopliteal artery disease
2022-05-02,2022-11-10,International Journal of Mental Health and Addiction,Impact of intravascular ultrasound parameters and platelet reactivity on primary patency after drug-coated balloon angioplasty for femoropopliteal artery disease
2021-05-04,2022-07-22,International Journal of Mental Health and Addiction,An extra-component method for evaluating fast matrix-vector multiplication with special functions
2022-06-06,2022-12-01,Psychological Research,Homogeneous domination-based lane-keeping control method for intelligent vehicle
2023-01-15,2023-02-08,Psychological Research,"Real-World Evaluation of GLP-1 Receptor Agonist Therapy Persistence, Adherence and Therapeutic Inertia Among Obese Adults with Type 2 Diabetes"
2022-08-19,2022-10-16,International Journal of Mental Health and Addiction,Association between skin immune-related adverse events (irAEs) and multisystem irAEs during PD-1/PD-L1 inhibitor monotherapy
2022-10-13,2023-01-18,International Journal of Mental Health and Addiction,At the intersection of life cycle assessment and indirect greenhouse gas emissions accounting
2021-10-21,2022-05-23,International Journal of Mental Health and Addiction,Utilizing a Digital Swarm Intelligence Platform to Improve Consensus Among Radiologists and Exploring Its Applications
2022-02-04,2022-10-29,International Journal of Mental Health and Addiction,An Oversampling-Based Fast Convergent Blind Technique for Gain Mismatch and Timing Skew Error Correction in Time-Interleaved ADCs
2022-02-04,2022-10-29,"Cognitive, Affective, & Behavioral Neuroscience",An Oversampling-Based Fast Convergent Blind Technique for Gain Mismatch and Timing Skew Error Correction in Time-Interleaved ADCs
2022-06-06,2022-10-07,Current Psychology,Updated diagnosis and graft involvement for visceral leishmaniasis in kidney transplant recipients: a case report and literature review
2021-10-04,2022-04-08,International Journal of Mental Health and Addiction,Borda-optimal taxation of labour income
2021-05-13,2022-03-21,International Journal of Mental Health and Addiction,Cyclic voltammetry and XPS studies of poly (aniline-co-3-aminophenol)
2022-05-18,2022-07-05,International Journal of Mental Health and Addiction,Analysis and chaos synchronization of Genesio–Tesi system applying sliding mode control techniques
2022-05-28,2022-11-06,International Journal of Mental Health and Addiction,LCP of constacyclic codes over finite chain rings
2022-08-31,2023-01-14,"Cognitive, Affective, & Behavioral Neuroscience","Geophysical Data Inversion in a Gold-Rich Porphyry System: A Case Study of the Dalli Deposit, Iran"
2021-07-22,2021-12-27,International Journal of Mental Health and Addiction,Recognition of abnormal patterns in industrial processes with variable window size via convolutional neural networks and AdaBoost
2021-09-14,2022-06-22,Psychological Research,Does belief in free will influence biological motion perception?
2022-10-24,2022-11-30,"Cognitive, Affective, & Behavioral Neuroscience",Separating the effects of two dimensions on ecosystem services: Environmental variables and net trade-offs
2022-06-28,2022-10-06,"Cognitive, Affective, & Behavioral Neuroscience",Effects of pollutant toxicity on the eyes of aquatic life monitored by visual dysfunction in zebrafish: a review
2022-08-16,2022-11-22,International Journal of Mental Health and Addiction,Effectiveness of resilience-promoting interventions in adolescents with diabetes mellitus: a systematic review and meta-analysis
2022-10-07,2022-12-07,International Journal of Mental Health and Addiction,Multivariate Curve Resolution Applied to Near Infrared Spectroscopic Data Acquired Throughout the Cooking Process to Monitor Evolving Béchamel Sauces
2022-01-30,2022-10-17,"Cognitive, Affective, & Behavioral Neuroscience",Bilateral Weighted Relative Total Variation for Low-Dose CT Reconstruction
2022-04-06,2022-10-12,International Journal of Mental Health and Addiction,Radial Extracorporeal Shock Wave Therapy Combined with Resveratrol Derivative Alleviates Chronic Nonbacterial Prostatitis in Rats
2022-06-29,2023-02-07,Academic Psychiatry,Postoperative Resting Metabolic Rate and Successful Weight Loss After Roux-en-Y Gastric Bypass
2021-10-22,2022-05-17,Current Psychology,Climate-Related Variations in Autumn Cohort of Japanese Common Squid Todarodes pacificus
