1,2,journal,title
2022-12-04,2023-03-01,Academic Psychiatry,"So, you want to get into “total-body” PET/CT scanning? An installation guide for beginners!"
2023-02-12,2023-03-29,Academic Psychiatry,Thrombus formation in the suprahepatic inferior vena cava after microwave ablation in patients with hepatic metastasis: a case report
2022-09-21,2023-03-10,European Archives of Psychiatry and Clinical Neuroscience,Interventions to improve well-being among children and youth aged 6–17 years during the COVID-19 pandemic: a systematic review
2022-11-15,2023-03-09,International Journal of Mental Health and Addiction,Letter to the Editor Regarding “Fluticasone Furoate/Umeclidinium/Vilanterol (FF/UMEC/VI) Triple Therapy Compared with Other Therapies for the Treatment of COPD: A Network Meta-Analysis”
2022-11-09,2022-11-29,International Journal of Mental Health and Addiction,Mitigating fear of cancer recurrence
2021-09-01,2021-09-02,International Journal of Mental Health and Addiction,Invited Discussion on: Effect of Reduction Mammoplasty on Insulin and Lipid Metabolism in the Postoperative Third Month: Compensatory Hip Enlargement
2022-08-31,2022-10-25,International Journal of Mental Health and Addiction,Long-term outcomes of chemoradiotherapy versus radiotherapy alone in patients with intermediate-risk nasopharyngeal carcinoma: a population-based analysis
2022-11-21,2022-12-26,International Journal of Mental Health and Addiction,Minimizing Cutaneous Complications of Chemoembolization of Extra-Abdominal Desmoid Tumor Using Tumescent Vasoconstriction of Skin Blood Vessels
2022-03-03,2022-07-29,Academic Psychiatry,3D Amide Proton Transfer-Weighted Imaging for Grading Glioma and Correlating IDH Mutation Status: Added Value to 3D Pseudocontinuous Arterial Spin Labelling Perfusion
2023-02-15,2023-03-06,International Journal of Mental Health and Addiction,Infection-Related Glomerulonephritis Complicating Entamoeba histolytica Abscess of the Liver
2022-11-25,2022-12-19,International Journal of Mental Health and Addiction,Severity and Cardiac Involvement in Multisystem Inflammatory Syndrome in Children: Correspondence
2022-04-20,2022-07-14,International Journal of Mental Health and Addiction,Radiosynthesis and Evaluation of a C-11 Radiotracer for Transient Receptor Potential Canonical 5 in the Brain
2022-08-11,2022-11-04,International Journal of Mental Health and Addiction,Nonbrain metastases seen on magnetic resonance imaging during metastatic brain tumor screening
2022-06-21,2022-11-14,International Journal of Mental Health and Addiction,"High Risk, High Reward: Frailty in Colorectal Cancer Surgery is Associated with Worse Postoperative Outcomes but Equivalent Long-Term Oncologic Outcomes"
