1,2,journal,title
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Molecular Imaging and Biology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Die Urologie,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Molecular Imaging and Biology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Marine Systems & Ocean Technology,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Die Urologie,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-19,2022-10-09,Asian Journal of Civil Engineering,Experimental study of an oscillating water column wave energy converter based on regular waves
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-04-08,2022-12-21,Asian Journal of Civil Engineering,Innovative predictive model for flexural strength of recycled aggregate concrete from multiple datasets
2022-11-20,2023-01-02,Asian Journal of Civil Engineering,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Asian Journal of Civil Engineering,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Asian Journal of Civil Engineering,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Asian Journal of Civil Engineering,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,The Journal of Supercomputing,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,European Journal of Wood and Wood Products,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Computational Particle Mechanics,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Neurochemical Research,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Argumentation,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Sugar Tech,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,"Signal, Image and Video Processing","Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Asian Journal of Civil Engineering,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-11-20,2023-01-02,Astrodynamics,"Parametric study on the structural performance of ordinary, bamboo-shaped and triple-truss confined all-steel BRBs with a circular core cross-section"
2022-10-25,2022-12-01,Skeletal Radiology,The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,Molecular Neurobiology,The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,Distributed and Parallel Databases,The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,Acta Geophysica,The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,International Journal of Computer Vision,The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,Molecular Neurobiology,The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,"Signal, Image and Video Processing",The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,Sugar Tech,The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-10-25,2022-12-01,"International Journal of Minerals, Metallurgy and Materials",The posterior crescent sign on MRI and MR arthrography: is it a marker of hip dysplasia and instability?
2022-05-24,2022-08-04,Experimental and Computational Multiphase Flow,Application of homotopy perturbation method to the radial thrust problem
2022-05-24,2022-08-04,Experimental and Computational Multiphase Flow,Application of homotopy perturbation method to the radial thrust problem
2022-05-24,2022-08-04,"Signal, Image and Video Processing",Application of homotopy perturbation method to the radial thrust problem
2022-05-24,2022-08-04,Transportation,Application of homotopy perturbation method to the radial thrust problem
2022-05-24,2022-08-04,Biological Trace Element Research,Application of homotopy perturbation method to the radial thrust problem
2022-05-24,2022-08-04,Skeletal Radiology,Application of homotopy perturbation method to the radial thrust problem
2022-05-24,2022-08-04,Journal of Youth and Adolescence,Application of homotopy perturbation method to the radial thrust problem
2022-05-24,2022-08-04,"Signal, Image and Video Processing",Application of homotopy perturbation method to the radial thrust problem
2022-01-25,2022-06-18,"Signal, Image and Video Processing",An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Molecular Neurobiology,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Sugar Tech,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,The Journal of Supercomputing,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Neurochemical Research,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Integrative Psychological and Behavioral Science,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Annali di Matematica Pura ed Applicata (1923 -),An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,European Journal of Wood and Wood Products,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Computational Particle Mechanics,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,The Journal of Supercomputing,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Computational Particle Mechanics,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Computational Particle Mechanics,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,International Journal of Computer Vision,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Mathematical Sciences,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,"Signal, Image and Video Processing",An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-25,2022-06-18,Asian Journal of Civil Engineering,An IoT scheme based on wireless body area sensors for healthcare applications
2022-01-07,2022-04-08,Skeletal Radiology,Synovial fluid-inspired biomimetic lubricating microspheres: Zwitterionic polyelectrolyte brushes-grafted microgels
2022-01-07,2022-04-08,Aequationes mathematicae,Synovial fluid-inspired biomimetic lubricating microspheres: Zwitterionic polyelectrolyte brushes-grafted microgels
2022-01-07,2022-04-08,Neurochemical Research,Synovial fluid-inspired biomimetic lubricating microspheres: Zwitterionic polyelectrolyte brushes-grafted microgels
2022-01-07,2022-04-08,"Signal, Image and Video Processing",Synovial fluid-inspired biomimetic lubricating microspheres: Zwitterionic polyelectrolyte brushes-grafted microgels
